frame,custom landmark time,landmark 68 time,,,
1,0.0041143,0.0072665,,0.00627656,0.005670967
2,0.0078596,0.0058223,,,
3,0.00427,0.0026223,,,
4,0.004051,0.0028679,,,
5,0.0044598,0.00286,,,
6,0.0044955,0.0030315,,,
7,0.0125251,0.0045893,,,
8,0.0040334,0.006817,,,
9,0.0067886,0.0057248,,,
10,0.0067859,0.0035654,,,
11,0.0061753,0.0038224,,,
12,0.0055646,0.0061847,,,
13,0.0085573,0.0055766,,,
14,0.0036809,0.0064328,,,
15,0.0083854,0.0050022,,,
16,0.0070688,0.0031966,,,
17,0.0069685,0.0061313,,,
18,0.0067319,0.0037787,,,
19,0.0040397,0.0058361,,,
20,0.0061225,0.0051695,,,
21,0.005301,0.005755,,,
22,0.0081999,0.007641,,,
23,0.0122388,0.0085757,,,
24,0.0068341,0.0116638,,,
25,0.0063638,0.0064626,,,
26,0.0089848,0.0040074,,,
27,0.0056569,0.0073855,,,
28,0.00615,0.0059707,,,
29,0.0077329,0.0038504,,,
30,0.0052297,0.0073122,,,
31,0.0088099,0.0075309,,,
32,0.0035076,0.0056289,,,
33,0.0059736,0.0036299,,,
34,0.0062991,0.0037732,,,
35,0.0055635,0.0055298,,,
36,0.0041553,0.0056207,,,
37,0.0050394,0.0071827,,,
38,0.0069817,0.0078215,,,
39,0.0049663,0.0091939,,,
40,0.0042347,0.0062248,,,
41,0.0069422,0.0052464,,,
42,0.0064961,0.0034828,,,
43,0.0069859,0.0055564,,,
44,0.0089787,0.0098664,,,
45,0.0088559,0.0074512,,,
46,0.0062582,0.0032151,,,
47,0.0037331,0.0059963,,,
48,0.0043767,0.0054396,,,
49,0.0068578,0.0062007,,,
50,0.0062306,0.0047496,,,
51,0.007101,0.0071223,,,
52,0.0052639,0.0076641,,,
53,0.010701,0.0043744,,,
54,0.0065148,0.0063041,,,
55,0.0065966,0.00407,,,
56,0.0062408,0.0057327,,,
57,0.0061026,0.0039422,,,
58,0.0069925,0.0070622,,,
59,0.0063324,0.0062969,,,
60,0.0059882,0.0036488,,,
61,0.0061612,0.0066919,,,
62,0.0077995,0.0041527,,,
63,0.0052514,0.0062695,,,
64,0.0040678,0.005358,,,
65,0.0057816,0.0046226,,,
66,0.0065096,0.0056922,,,
67,0.0073712,0.0055357,,,
68,0.0065682,0.0055329,,,
69,0.0050526,0.0066282,,,
70,0.007258,0.0052542,,,
71,0.0078074,0.0034774,,,
72,0.0039744,0.0063823,,,
73,0.0066687,0.0056682,,,
74,0.0054762,0.0079656,,,
75,0.0072113,0.0049718,,,
76,0.0066124,0.0067717,,,
77,0.0050809,0.0057981,,,
78,0.0072581,0.0071783,,,
79,0.0073407,0.0078573,,,
80,0.0045148,0.0067955,,,
81,0.0065917,0.0068256,,,
82,0.0066248,0.0073509,,,
83,0.0064873,0.0072448,,,
84,0.0076638,0.00653,,,
85,0.0067942,0.0044733,,,
86,0.0052417,0.0032929,,,
87,0.0074368,0.0060057,,,
88,0.0064131,0.0058276,,,
89,0.0031096,0.0058464,,,
90,0.0057321,0.0027889,,,
91,0.0054595,0.0046058,,,
92,0.0077983,0.0063939,,,
93,0.0033141,0.006903,,,
94,0.0050846,0.0031597,,,
95,0.0054895,0.0031439,,,
96,0.0045298,0.0054714,,,
97,0.0062598,0.0033105,,,
98,0.0096049,0.0068086,,,
99,0.0041374,0.0064156,,,
100,0.0056669,0.0056134,,,
101,0.0062244,0.0041105,,,
102,0.0058441,0.0058594,,,
103,0.0064064,0.0068064,,,
104,0.0065253,0.0044865,,,
105,0.0070637,0.006539,,,
106,0.0052946,0.003987,,,
107,0.0070773,0.0066602,,,
108,0.0075243,0.0072588,,,
109,0.0061842,0.0065159,,,
110,0.0036782,0.0063442,,,
111,0.0067646,0.0068668,,,
112,0.0064713,0.0067603,,,
113,0.0063155,0.0031521,,,
114,0.0052072,0.0073584,,,
115,0.0067428,0.005159,,,
116,0.0079779,0.0065098,,,
117,0.0070223,0.0056382,,,
118,0.0041056,0.0072084,,,
119,0.0034136,0.0055471,,,
120,0.0057062,0.006631,,,
121,0.0039956,0.0053536,,,
122,0.0069264,0.0031887,,,
123,0.0058213,0.003503,,,
